Year,Yeargroup,Position,Positiongroup,Top100,Track,Artist,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Key,Mode,Tempo,Loudness
2005,0,1,0,1,Is This The Way To Amarillo,Tony Christie,0.0396,0.709,0.856,0,0.166,0.916,9,1,131.959,-4.403
2005,0,2,0,1,That's My Goal,Shayne Ward,0.371,0.289,0.507,0,0.305,0.135,2,1,68.673,-5.966
2005,0,3,0,1,Axel F,Crazy Frog,0.279,0.86,0.907,0.693,0.0648,0.786,2,1,138.045,-3.321
2005,0,4,0,1,You’re Beautiful,James Blunt,0.633,0.675,0.479,0.0000181,0.0881,0.454,0,0,81.993,-9.87
2005,0,5,0,1,Don't Cha (Karaoke Version) - Originally Performed By Pussycat Dolls Ft Busta Rhymes,Sing Karaoke Sing,0.00131,0.869,0.614,0.0000166,0.037,0.669,11,1,120.111,-9.947
2005,0,6,0,1,All About You,McFly,0.197,0.542,0.559,0,0.0989,0.295,1,1,129.898,-5.313
2005,0,7,0,1,Lonely,Akon,0.307,0.633,0.529,0,0.342,0.578,5,0,90.08,-7.85
2005,0,8,0,1,Hung Up,Madonna,0.0039,0.649,0.647,0.161,0.0686,0.405,9,0,125.02,-7.695
2005,0,9,0,1,You Raise Me Up,Westlife,0.63,0.23,0.357,0,0.0886,0.174,10,1,114.229,-6.596
2005,0,10,0,1,Push The Button,Sugababes,0.0517,0.962,0.662,0,0.0799,0.801,8,1,126.007,-5.093
2005,0,11,1,1,Bad Day,Daniel Powter,0.448,0.599,0.785,0.00336,0.151,0.52,3,1,140.046,-4.013
2005,0,12,1,1,JCB,Nizlopi,0.713,0.556,0.494,0,0.383,0.599,2,1,104.068,-7.023
2005,0,13,1,1,Ghetto Gospel,2Pac,0.0964,0.794,0.614,0,0.0788,0.663,5,0,80.569,-5.352
2005,0,14,1,1,Feel Good Inc.,Gorillaz,0.00836,0.818,0.705,0.00233,0.613,0.772,6,1,138.559,-6.679
2005,0,15,1,1,Switch,Will Smith,0.007,0.877,0.885,0.000497,0.557,0.517,1,1,102.507,-4.966
2005,0,16,1,1,I Like The Way - Radio Edit,Bodyrockers,0.0248,0.642,0.851,0.0146,0.084,0.777,6,1,127.988,-3.638
2005,0,17,1,1,I Bet You Look Good On The Dancefloor,Arctic Monkeys,0.00225,0.535,0.948,0,0.376,0.778,6,0,103.183,-4.19
2005,0,18,1,1,Let Me Love You,Mario,0.235,0.656,0.578,0,0.118,0.556,7,0,94.514,-8.97
2005,0,19,1,1,Tripping,Robbie Williams,0.0381,0.666,0.922,0.000191,0.0633,0.828,2,0,118.014,-4.458
2005,0,20,1,1,We Belong Together,Mariah Carey,0.0339,0.837,0.462,0,0.09,0.762,0,1,139.986,-7.89
2005,0,21,2,1,Signs,Snoop Dogg,0.0305,0.934,0.706,0.000121,0.136,0.614,7,1,112.962,-5.317
2005,0,22,2,1,Shot You Down,Audio Bullys,0.291,0.654,0.599,0.0784,0.162,0.479,5,0,125.608,-4.724
2005,0,23,2,1,Get Right,Jennifer Lopez,0.0218,0.741,0.759,0,0.628,0.362,0,0,97.084,-5.096
2005,0,24,2,1,Don't Phunk With My Heart,Black Eyed Peas,0.00933,0.689,0.929,0,0.548,0.609,5,0,130.899,-2.76
2005,0,25,2,1,Over And Over,Nelly,0.0065,0.644,0.517,0.00000137,0.158,0.464,7,1,169.799,-10.02
2005,0,26,2,1,DARE,Gorillaz,0.0229,0.76,0.891,0.0869,0.298,0.966,11,0,120.264,-5.852
2005,0,27,2,1,We Be Burnin',Sean Paul,0.145,0.95,0.803,0,0.0748,0.86,1,1,117,-4.195
2005,0,28,2,1,Stickwitu,The Pussycat Dolls,0.268,0.655,0.54,0,0.068,0.43,9,1,79.983,-6.482
2005,0,29,2,1,Candy Shop,50 Cent,0.0253,0.614,0.574,0.000032,0.38,0.755,11,1,125.173,-7.961
