,Year,Yeargroup,Position,Positiongroup,Top100,Track,Artist,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Key,Mode,Tempo,Loudness,KMeans
0,2005,0,1,0,1,Is This The Way To Amarillo,Tony Christie,0.0396,0.709,0.856,0.0,0.166,0.916,9,1,131.959,-4.403,2
1,2005,0,2,0,1,That's My Goal,Shayne Ward,0.371,0.289,0.507,0.0,0.305,0.135,2,1,68.673,-5.966,3
2,2005,0,3,0,1,Axel F,Crazy Frog,0.279,0.86,0.907,0.693,0.0648,0.786,2,1,138.045,-3.321,1
3,2005,0,4,0,1,You’re Beautiful,James Blunt,0.633,0.675,0.479,1.81e-05,0.0881,0.454,0,0,81.993,-9.87,3
4,2005,0,5,0,1,Don't Cha (Karaoke Version) - Originally Performed By Pussycat Dolls Ft Busta Rhymes,Sing Karaoke Sing,0.00131,0.869,0.614,1.66e-05,0.037,0.669,11,1,120.111,-9.947,1
5,2005,0,6,0,1,All About You,McFly,0.197,0.542,0.559,0.0,0.0989,0.295,1,1,129.898,-5.313,0
6,2005,0,7,0,1,Lonely,Akon,0.307,0.633,0.529,0.0,0.342,0.578,5,0,90.08,-7.85,0
7,2005,0,8,0,1,Hung Up,Madonna,0.0039,0.649,0.647,0.161,0.0686,0.405,9,0,125.02,-7.695,0
8,2005,0,9,0,1,You Raise Me Up,Westlife,0.63,0.23,0.357,0.0,0.0886,0.174,10,1,114.229,-6.596,3
9,2005,0,10,0,1,Push The Button,Sugababes,0.0517,0.962,0.662,0.0,0.0799,0.801,8,1,126.007,-5.093,1
10,2005,0,11,1,1,Bad Day,Daniel Powter,0.448,0.599,0.785,0.00336,0.151,0.52,3,1,140.046,-4.013,4
11,2005,0,12,1,1,JCB,Nizlopi,0.713,0.556,0.494,0.0,0.383,0.599,2,1,104.068,-7.023,3
12,2005,0,13,1,1,Ghetto Gospel,2Pac,0.0964,0.794,0.614,0.0,0.0788,0.663,5,0,80.569,-5.352,1
13,2005,0,14,1,1,Feel Good Inc.,Gorillaz,0.00836,0.818,0.705,0.00233,0.613,0.772,6,1,138.559,-6.679,1
14,2005,0,15,1,1,Switch,Will Smith,0.007,0.877,0.885,0.000497,0.557,0.517,1,1,102.507,-4.966,2
15,2005,0,16,1,1,I Like The Way - Radio Edit,Bodyrockers,0.0248,0.642,0.851,0.0146,0.084,0.777,6,1,127.988,-3.638,2
16,2005,0,17,1,1,I Bet You Look Good On The Dancefloor,Arctic Monkeys,0.00225,0.535,0.948,0.0,0.376,0.778,6,0,103.183,-4.19,2
17,2005,0,18,1,1,Let Me Love You,Mario,0.235,0.656,0.578,0.0,0.118,0.556,7,0,94.514,-8.97,0
18,2005,0,19,1,1,Tripping,Robbie Williams,0.0381,0.666,0.922,0.000191,0.0633,0.828,2,0,118.014,-4.458,2
19,2005,0,20,1,1,We Belong Together,Mariah Carey,0.0339,0.837,0.462,0.0,0.09,0.762,0,1,139.986,-7.89,1
20,2005,0,21,2,1,Signs,Snoop Dogg,0.0305,0.934,0.706,0.000121,0.136,0.614,7,1,112.962,-5.317,1
21,2005,0,22,2,1,Shot You Down,Audio Bullys,0.291,0.654,0.599,0.0784,0.162,0.479,5,0,125.608,-4.724,0
22,2005,0,23,2,1,Get Right,Jennifer Lopez,0.0218,0.741,0.759,0.0,0.628,0.362,0,0,97.084,-5.096,0
23,2005,0,24,2,1,Don't Phunk With My Heart,Black Eyed Peas,0.00933,0.689,0.929,0.0,0.548,0.609,5,0,130.899,-2.76,2
24,2005,0,25,2,1,Over And Over,Nelly,0.0065,0.644,0.517,1.37e-06,0.158,0.464,7,1,169.799,-10.02,0
25,2005,0,26,2,1,DARE,Gorillaz,0.0229,0.76,0.891,0.0869,0.298,0.966,11,0,120.264,-5.852,2
26,2005,0,27,2,1,We Be Burnin',Sean Paul,0.145,0.95,0.803,0.0,0.0748,0.86,1,1,117.0,-4.195,1
27,2005,0,28,2,1,Stickwitu,The Pussycat Dolls,0.268,0.655,0.54,0.0,0.068,0.43,9,1,79.983,-6.482,0
28,2005,0,29,2,1,Candy Shop,50 Cent,0.0253,0.614,0.574,3.2e-05,0.38,0.755,11,1,125.173,-7.961,2
29,2005,0,30,2,1,Since U Been Gone,Kelly Clarkson,0.00165,0.662,0.741,0.0303,0.114,0.404,0,1,131.0,-5.406,0
30,2005,0,31,3,1,Lyla,Oasis,0.00014,0.401,0.951,0.000117,0.147,0.332,11,1,120.879,-2.57,4
31,2005,0,32,3,1,My Humps,Black Eyed Peas,0.111,0.801,0.682,1.56e-05,0.109,0.586,1,0,123.95,-5.919,1
32,2005,0,33,3,1,Pon de Replay,Rihanna,0.000155,0.779,0.64,0.00077,0.101,0.498,7,1,99.019,-8.415,0
33,2005,0,34,3,1,Crazy Chick,Charlotte Church,0.0171,0.665,0.94,1.07e-06,0.107,0.774,0,1,134.903,-2.788,2
34,2005,0,35,3,1,Gold Digger,Kanye West,0.0195,0.629,0.696,0.0,0.0554,0.623,1,0,93.034,-5.572,2
35,2005,0,36,3,1,Roc Ya Body (Mic Check 1 2) (Karaoke Version) - Originally Performed By Mvp,Sing Karaoke Sing,0.0145,0.794,0.68,0.000418,0.324,0.95,10,0,103.02,-18.451,1
36,2005,0,37,3,1,The Importance Of Being Idle,Oasis,0.0459,0.568,0.87,0.0,0.12,0.585,9,0,109.819,-2.258,2
37,2005,0,38,3,1,1 Thing,Amerie,0.107,0.612,0.961,4.17e-05,0.0413,0.867,10,0,129.873,-3.078,2
38,2005,0,39,3,1,Dr Pressure (In the Style of Mylo vs Miami Sound Machine) [Karaoke Version],Ameritz Digital Karaoke,0.00255,0.727,0.815,0.206,0.0973,0.894,11,0,128.995,-6.37,2
39,2005,0,40,3,1,Dakota,Stereophonics,0.129,0.506,0.93,0.00682,0.0931,0.305,4,1,146.994,-3.499,4
40,2005,0,41,4,1,Speed of Sound,Coldplay,0.00488,0.514,0.898,0.0345,0.0746,0.353,11,0,123.067,-6.765,4
